ID,NAME,SURNAME,EMAIL,PHONE
2d58f5a2-0558-4eb5-8a43-8629acc351e9,ClientName1,ClientSurname1,client1@example.com,+380640602949
2c1861af-4140-4504-a75d-cde7ce5345f8,ClientName2,ClientSurname2,client2@example.com,+380161713693
a03a3103-a687-42f5-9961-d9cd4b9d27ed,ClientName3,ClientSurname3,client3@example.com,+380638180978
57381688-c277-4c37-8c4c-dceea3ee332d,ClientName4,ClientSurname4,client4@example.com,+380649945437
398c0c60-6519-4646-af79-9e637af824fc,ClientName5,ClientSurname5,client5@example.com,+380529585062
5b21be5f-3783-4560-93e8-49d0bd4d86be,ClientName6,ClientSurname6,client6@example.com,+380351133325
de04a0cd-8adc-4bb5-bc61-68b641897b58,ClientName7,ClientSurname7,client7@example.com,+380496959743
10167ff2-f0f4-41ec-8f6f-346da09f8df5,ClientName8,ClientSurname8,client8@example.com,+380310412729
5e236759-d043-46dd-b7fd-f3be48407ae8,ClientName9,ClientSurname9,client9@example.com,+380591536766
64872495-1f33-4099-9323-68bc6a57b3bc,ClientName10,ClientSurname10,client10@example.com,+380299360235
a6c827db-7e35-4e49-94be-b809e2ff1018,ClientName11,ClientSurname11,client11@example.com,+380187746919
aa8076ae-8082-4d30-8379-f18f02f6ecd1,ClientName12,ClientSurname12,client12@example.com,+380884705328
7ec0361a-a71f-4449-aa34-6d77dcc1d352,ClientName13,ClientSurname13,client13@example.com,+380973732879
41d83af0-f876-4d49-b82e-b856e7af9c0f,ClientName14,ClientSurname14,client14@example.com,+380846831077
38f747fc-8c87-4894-b715-e09f21bf8d55,ClientName15,ClientSurname15,client15@example.com,+380647188308
4fbce8c7-5620-49a5-8753-fa55b1db3117,ClientName16,ClientSurname16,client16@example.com,+380473978813
49a17563-de97-4e90-ad22-781de6fcfd76,ClientName17,ClientSurname17,client17@example.com,+380744325557
4ed60eb5-660d-460c-b9bb-396f03b5388e,ClientName18,ClientSurname18,client18@example.com,+380284604834
cc341055-6387-4020-a57d-79e18b27dc45,ClientName19,ClientSurname19,client19@example.com,+380428928495
0c1054b6-d983-4470-8383-e9df50e49b31,ClientName20,ClientSurname20,client20@example.com,+380647217000
f2ff82af-9842-4bfb-b213-5f9b5068845d,ClientName21,ClientSurname21,client21@example.com,+380831768159
8e6ab081-d843-4a5f-893a-fb572c76be6c,ClientName22,ClientSurname22,client22@example.com,+380737646356
ea629fea-4b88-435f-a0d7-f02477a382e6,ClientName23,ClientSurname23,client23@example.com,+380435170684
74439da1-5aa4-411b-a5df-197ff4708898,ClientName24,ClientSurname24,client24@example.com,+380745468284
95770ca7-e9f7-4a8d-935e-ce7d9d2ceb4b,ClientName25,ClientSurname25,client25@example.com,+380576707389
bf17c427-d4e8-4200-b69b-747a8b20a999,ClientName26,ClientSurname26,client26@example.com,+380880825494
decc4884-8b95-497d-93a6-69f87d22ab17,ClientName27,ClientSurname27,client27@example.com,+380556242069
7eaead0b-6c8d-42e0-b57e-aa2f70821062,ClientName28,ClientSurname28,client28@example.com,+380273072084
9bab68ee-f561-41c4-9b8d-6eafcc0c560d,ClientName29,ClientSurname29,client29@example.com,+380828706312
b7a39b7e-49df-4200-8337-d21a175bdd87,ClientName30,ClientSurname30,client30@example.com,+380753772457
e746f02a-27e5-4b8c-b7e5-1b8dd40cabac,ClientName31,ClientSurname31,client31@example.com,+380306829847
1e0448e2-60e6-428c-83ea-c9ce1472c42e,ClientName32,ClientSurname32,client32@example.com,+380557319714
09019d25-f151-4b8e-b78c-9984d600b524,ClientName33,ClientSurname33,client33@example.com,+380735252798
595d59bc-3bd9-4077-b73e-045244f94005,ClientName34,ClientSurname34,client34@example.com,+380990922930
d4c6db2e-4610-47df-b841-c39f641d66df,ClientName35,ClientSurname35,client35@example.com,+380844254034
f0f01dca-7b7b-43e5-b07f-54ce87c56ac3,ClientName36,ClientSurname36,client36@example.com,+380135166141
18ec06f0-8bfd-4203-afd7-e8bcc1a6b868,ClientName37,ClientSurname37,client37@example.com,+380185357732
10b94913-7d38-46c7-88b3-5176c5a80061,ClientName38,ClientSurname38,client38@example.com,+380913251136
aaa27e4c-d5a8-4908-81e5-8c0f4dac34ce,ClientName39,ClientSurname39,client39@example.com,+380626829920
84deceb6-017d-49ad-8b93-24e71e7078ca,ClientName40,ClientSurname40,client40@example.com,+380626007829
bbe1a9d4-0934-4589-8b8c-b08f61d233ef,ClientName41,ClientSurname41,client41@example.com,+380446619036
b6796aa9-d81e-4217-a190-083a45e3c009,ClientName42,ClientSurname42,client42@example.com,+380242818446
bab35fc1-0535-45e5-8c02-1bfc7d28caf4,ClientName43,ClientSurname43,client43@example.com,+380562587334
63e1e452-4141-483d-ac42-5b19a9b29fd9,ClientName44,ClientSurname44,client44@example.com,+380471343107
b021e58f-2651-4873-b566-7094141c5b80,ClientName45,ClientSurname45,client45@example.com,+380401429496
7aab4bee-adde-4b5d-86e3-47127465704e,ClientName46,ClientSurname46,client46@example.com,+380364738999
e7555a9e-4c7d-4941-a259-2746e8eff453,ClientName47,ClientSurname47,client47@example.com,+380460944728
e9c6f9df-1e0e-4462-8747-77fbabf0dbd0,ClientName48,ClientSurname48,client48@example.com,+380525584903
f10eea52-250f-4161-85e2-9e1b798ab384,ClientName49,ClientSurname49,client49@example.com,+380611269194
356d04f9-eb60-4843-99a4-3a9ad1fb1238,ClientName50,ClientSurname50,client50@example.com,+380494004136
